,1,2,3,4,5,6,7,8,9,10,11,12
1,0,-0.005,0.088**,0.091**,0.079**,0.102**,0.001,0.033,0.08**,0.107**,0.133**,0.124**
2,0.005,0,0.094**,0.096**,0.084**,0.108**,0.007,0.038*,0.085**,0.112**,0.138**,0.13**
3,-0.088**,-0.094**,0,0.002,-0.01,0.014,-0.087**,-0.055**,-0.009,0.018,0.045**,0.036*
4,-0.091**,-0.096**,-0.002,0,-0.012,0.011,-0.09**,-0.058**,-0.011,0.016,0.042*,0.033
5,-0.079**,-0.084**,0.01,0.012,0,0.023,-0.078**,-0.046**,0.001,0.028,0.054**,0.045**
6,-0.102**,-0.108**,-0.014,-0.011,-0.023,0,-0.101**,-0.069**,-0.022,0.005,0.031,0.022
7,-0.001,-0.007,0.087**,0.09**,0.078**,0.101**,0,0.032,0.079**,0.106**,0.132**,0.123**
8,-0.033,-0.038*,0.055**,0.058**,0.046**,0.069**,-0.032,0,0.047**,0.074**,0.1**,0.091**
9,-0.08**,-0.085**,0.009,0.011,-0.001,0.022,-0.079**,-0.047**,0,0.027,0.053**,0.044**
10,-0.107**,-0.112**,-0.018,-0.016,-0.028,-0.005,-0.106**,-0.074**,-0.027,0,0.026,0.017
11,-0.133**,-0.138**,-0.045**,-0.042*,-0.054**,-0.031,-0.132**,-0.1**,-0.053**,-0.026,0,-0.009
12,-0.124**,-0.13**,-0.036*,-0.033,-0.045**,-0.022,-0.123**,-0.091**,-0.044**,-0.017,0.009,0
